combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,3,2,0.4351,0.3644,0.8674,0.8641,0.865,0.8642,0.868,True
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,3,3,0.3105,0.3774,0.8655,0.8611,0.8645,0.8621,0.8663,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,3,4,0.2052,0.4569,0.8589,0.8553,0.8523,0.8531,0.8578,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,3,5,0.1325,0.5192,0.8579,0.8549,0.856,0.8548,0.8588,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,4,1,0.7849,0.4675,0.8136,0.8175,0.8211,0.813,0.8147,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,4,2,0.4373,0.4148,0.8267,0.8223,0.8251,0.8233,0.8273,True
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,4,3,0.2882,0.5043,0.8277,0.8247,0.8232,0.8237,0.827,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,4,4,0.1925,0.5348,0.8352,0.8327,0.836,0.8334,0.8361,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,4,5,0.12,0.6561,0.8277,0.8242,0.8248,0.8244,0.8275,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,5,1,0.7788,0.4568,0.8211,0.8178,0.8203,0.8181,0.8223,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,5,2,0.4191,0.4155,0.8456,0.8417,0.8454,0.8427,0.8465,True
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,5,3,0.2796,0.4871,0.8371,0.8321,0.8341,0.8322,0.8369,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,5,4,0.1899,0.5728,0.8202,0.8166,0.8168,0.816,0.8212,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,5,5,0.1196,0.7179,0.8202,0.8204,0.8156,0.816,0.821,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,1,1,0.7459,0.4119,0.8325,0.8279,0.8319,0.8283,0.8332,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,1,2,0.3924,0.3821,0.8495,0.846,0.8509,0.8466,0.85,True
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,1,3,0.2724,0.4157,0.8551,0.8504,0.8524,0.8504,0.8541,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,1,4,0.184,0.4731,0.8495,0.845,0.8479,0.8461,0.8498,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,1,5,0.1057,0.5723,0.8542,0.8508,0.855,0.8521,0.8546,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,2,1,0.7411,0.4623,0.8231,0.8286,0.8277,0.823,0.8253,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,2,2,0.4001,0.3611,0.8561,0.8527,0.8568,0.854,0.8566,True
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,2,3,0.2736,0.39,0.8589,0.8554,0.8592,0.8564,0.8597,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,2,4,0.1769,0.4609,0.8457,0.8411,0.841,0.841,0.8454,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,2,5,0.1014,0.5483,0.857,0.8527,0.8547,0.8533,0.8565,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,3,1,0.7425,0.4408,0.8335,0.8369,0.8336,0.8311,0.835,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,3,2,0.4016,0.3959,0.8561,0.8555,0.8516,0.8492,0.8548,True
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,3,3,0.2925,0.3976,0.8598,0.8564,0.8555,0.854,0.8587,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,3,4,0.1886,0.4275,0.8683,0.866,0.8641,0.865,0.8681,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,3,5,0.118,0.5179,0.8561,0.8525,0.8521,0.8523,0.8562,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,4,1,0.7361,0.4389,0.8277,0.8247,0.826,0.8253,0.8278,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,4,2,0.3892,0.4286,0.8277,0.8281,0.8317,0.8265,0.8293,True
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,4,3,0.2542,0.4612,0.839,0.8353,0.8387,0.8365,0.8393,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,4,4,0.1651,0.566,0.8239,0.8208,0.8222,0.8212,0.8246,False
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,4,5,0.1007,0.6994,0.8352,0.8307,0.8336,0.8315,0.8351,False
